title,artist,album,isrc,platform,trackId,duration,addedDate,url
"A Close Friend","James Newton Howard","Fantastic Beasts and Where to Find Them (Original Motion Picture Soundtrack) [Deluxe Edition]",USNLR1600826,applemusicapp,1455906825,111,,https://geo.music.apple.com/ch/album/a-close-friend/1455906522?i=1455906825&app=music&at=11lt62&ct=tracklink&ls=1
"A Court of Thorns and Roses","Taylor Ash","A Court of Thorns and Roses",QZNWZ2240653,applemusicapp,1646891376,62,,https://geo.music.apple.com/ch/album/a-court-of-thorns-and-roses/1646891374?i=1646891376&app=music&at=11lt62&ct=tracklink&ls=1
"A Cruel Angel's Thesis (Director's Edit Version)","Yoko Takahashi","Neon Genesis Evangelion (Original Series Soundtrack)",JPKI09522450,applemusicapp,1500836562,245,,https://geo.music.apple.com/ch/album/a-cruel-angels-thesis-directors-edit-version/1500836561?i=1500836562&app=music&at=11lt62&ct=tracklink&ls=1
"A Dream Is a Wish Your Heart Makes","Lily James","Cinderella (Original Motion Picture Soundtrack)",USWD11569822,applemusicapp,1440748180,121,,https://geo.music.apple.com/ch/album/a-dream-is-a-wish-your-heart-makes/1440747786?i=1440748180&app=music&at=11lt62&ct=tracklink&ls=1
"A Human Heart (feat. Rebecca Rovny)","Taylor Ash","A Human Heart (feat. Rebecca Rovny)",QZMER2384748,applemusicapp,1694809427,158,,https://geo.music.apple.com/ch/album/a-human-heart-feat-rebecca-rovny/1694809426?i=1694809427&app=music&at=11lt62&ct=tracklink&ls=1
"A l'ombre Des Grandes Forêts",Artesia,Wanderings,FR6V80135022,applemusicapp,1754512290,172,,https://geo.music.apple.com/ch/album/a-lombre-des-grandes-for%C3%AAts/1754512287?i=1754512290&app=music&at=11lt62&ct=tracklink&ls=1
"A Little Braver","New Empire","In a Breath",TCACQ1648565,applemusicapp,1136791223,207,,https://geo.music.apple.com/ch/album/a-little-braver/1136789952?i=1136791223&app=music&at=11lt62&ct=tracklink&ls=1
"A Model of the Universe","Jóhann Jóhannsson","The Theory of Everything (Original Motion Picture Soundtrack)",USQ4E1401114,applemusicapp,930744782,172,,https://geo.music.apple.com/ch/album/a-model-of-the-universe/930744739?i=930744782&app=music&at=11lt62&ct=tracklink&ls=1
"a Red Winter","Ahn Ye Eun","Korea-Khitan War (Original Soundtrack), Pt. 3",KRMIM2402031,applemusicapp,1725936398,269,,https://geo.music.apple.com/ch/album/a-red-winter/1725936397?i=1725936398&app=music&at=11lt62&ct=tracklink&ls=1
"A Shimmer","Nils Frahm",Empty,GBWZD2013406,applemusicapp,1504523660,397,,https://geo.music.apple.com/ch/album/a-shimmer/1504523483?i=1504523660&app=music&at=11lt62&ct=tracklink&ls=1
"A Song for the Sea","Colossal Trailer Music",Submersive,USHM91462688,applemusicapp,1065705682,87,,https://geo.music.apple.com/ch/album/a-song-for-the-sea/1065704406?i=1065705682&app=music&at=11lt62&ct=tracklink&ls=1
"A Sparrow Alighted upon Our Shoulder","Air Lyndhurst String Orchestra & Anthony Weeden",Orphée,DEN961630006,applemusicapp,1440775299,147,,https://geo.music.apple.com/ch/album/a-sparrow-alighted-upon-our-shoulder/1440775286?i=1440775299&app=music&at=11lt62&ct=tracklink&ls=1
"A Supplementary Story: You Never Walk Alone",BTS,"YOU NEVER WALK ALONE",KRA381700256,applemusicapp,1596529626,156,,https://geo.music.apple.com/ch/album/a-supplementary-story-you-never-walk-alone/1596528839?i=1596529626&app=music&at=11lt62&ct=tracklink&ls=1
"A Thousand Years","Christina Perri","The Twilight Saga: Breaking Dawn - Pt. 1 (Original Motion Picture Soundtrack)",USAT21102141,applemusicapp,467967170,285,,https://geo.music.apple.com/ch/album/a-thousand-years/467967158?i=467967170&app=music&at=11lt62&ct=tracklink&ls=1
"A Time of Quiet Between the Storms","Hans Zimmer","Dune: Part Two (Original Motion Picture Soundtrack)",USNLR2400072,applemusicapp,1732116471,262,,https://geo.music.apple.com/ch/album/a-time-of-quiet-between-the-storms/1732115750?i=1732116471&app=music&at=11lt62&ct=tracklink&ls=1
"A World Beyond","Rok Nardin","A World Beyond",QZFZ72019859,applemusicapp,1503377425,160,,https://geo.music.apple.com/ch/album/a-world-beyond/1503377424?i=1503377425&app=music&at=11lt62&ct=tracklink&ls=1
"Aayi Nai","Pawan Singh, Simran Choudhary, Divya Kumar, Sachin-Jigar & Amitabh Bhattacharya","Stree 2 (Original Motion Picture Soundtrack)",INH102409603,applemusicapp,1762171380,179,,https://geo.music.apple.com/ch/album/aayi-nai/1762171151?i=1762171380&app=music&at=11lt62&ct=tracklink&ls=1
abcdefu,GAYLE,abcdefu,USAT22103652,applemusicapp,1576949673,169,,https://geo.music.apple.com/ch/album/abcdefu/1576949671?i=1576949673&app=music&at=11lt62&ct=tracklink&ls=1
"About Damn Time",Lizzo,Special,USAT22202139,applemusicapp,1619162353,192,,https://geo.music.apple.com/ch/album/about-damn-time/1619161952?i=1619162353&app=music&at=11lt62&ct=tracklink&ls=1
"Above and Beyond",Audiomachine,"Tree of Life",QMJGX1302346,applemusicapp,1603350563,172,,https://geo.music.apple.com/ch/album/above-and-beyond/1603350562?i=1603350563&app=music&at=11lt62&ct=tracklink&ls=1
Abracadabra,"Lady Gaga",Abracadabra,USUM72412581,applemusicapp,1793869710,223,,https://geo.music.apple.com/ch/album/abracadabra/1793869707?i=1793869710&app=music&at=11lt62&ct=tracklink&ls=1
Absinthe,punchnello,Absinthe,KRC711900008,applemusicapp,1450159504,233,,https://geo.music.apple.com/ch/album/absinthe/1450159501?i=1450159504&app=music&at=11lt62&ct=tracklink&ls=1
Acrobat,"Gwangil Jo",Acrobat,KRMIM2007094,applemusicapp,1505475659,187,,https://geo.music.apple.com/ch/album/acrobat/1505475658?i=1505475659&app=music&at=11lt62&ct=tracklink&ls=1
